score_bucket,count,avg_fwd_20d,win_rate_20d
<70,498,3.3620934260232636,60.8433734939759
70-79,126,5.099088534446391,68.25396825396825
80-89,161,1.4786137999516678,53.41614906832298
90-100,79,3.5067574228623744,59.49367088607595
