date,symbol,state,trend_score,fwd_5d,fwd_10d,fwd_20d
2024-10-15,TSLA,NEUTRAL,50.0,-0.1414480532094253,19.780071810160504,59.70067263715399
2026-03-25,INTC,NEUTRAL,52.5,0.1588735647808148,33.79482279969852,48.138889261662165
2026-03-25,AMD,NEUTRAL,53.0,-0.9446377209578528,12.879199900617632,47.762574217289554
2024-11-26,AVGO,NEUTRAL,35.5,2.020377506282012,4.240978362472325,45.80887065212475
2025-09-10,AMD,NEUTRAL,50.5,2.977794359869246,3.260163222618484,35.739946454206994
2026-03-25,TNA,DOWNTREND,20.5,-1.824245356883858,13.192435747055576,34.682982555044674
2025-04-09,AVGO,DOWNTREND,20.0,14.68948734443758,13.382059400446211,31.2632259230313
2026-07-14,MSFT,NEUTRAL,29.0,2.8901021724699216,-0.4833871303366988,29.43042114776273
2025-04-09,TSLA,DOWNTREND,23.0,14.536193956223787,13.01722023048846,24.501938366899665
2025-04-09,TSM,DOWNTREND,20.0,11.289517374293244,11.629053707857253,23.463242125111904
