category,signals,avg_5d,avg_10d,avg_20d
energy,192,0.780201658841469,1.1457110380579365,1.8808098134880218
financials,192,0.77597411600751,1.6444170207584907,3.13314020054089
semiconductors,160,1.6775993658049608,2.7901188325936515,7.533512713902527
small_caps,96,0.12156099381067097,0.012499146719984458,0.46116275196384615
technology,224,0.9214252026320604,1.0488912206607863,2.7660101722843415
