date,symbol,category,state,trend_score,bottom_score,reversal_score,setup_quality,close,fwd_1d,fwd_5d,fwd_10d,fwd_20d
2024-11-05,AMD,semiconductors,DOWNTREND,26.0,49.0,48.0,65.0,140.7100067138672,0.6751452653783074,4.718924790580692,-1.2650230638575621,0.902557709526941
2024-11-26,AMD,semiconductors,STRONG_DOWNTREND,14.5,54.0,53.5,65.0,141.1300048828125,-2.416214514369841,0.6022750763966522,-9.487711015217059,-10.51513034354925
2024-12-18,AMD,semiconductors,STRONG_DOWNTREND,10.0,43.5,35.5,55.0,125.0199966430664,-2.8875324571185246,1.0158409107039246,-3.511437775975901,-2.8475425165444435
2025-01-13,AMD,semiconductors,STRONG_DOWNTREND,17.0,53.5,42.5,55.0,116.04000091552734,1.103066846947609,4.670801556517445,-0.8876238979407369,-4.791449081977528
2025-02-04,AMD,semiconductors,STRONG_DOWNTREND,5.0,41.5,37.5,55.0,114.2699966430664,4.576882393083492,-3.316700269075201,0.008753073006295686,-11.831624258550955
2025-02-26,AMD,semiconductors,STRONG_DOWNTREND,8.0,45.5,33.5,55.0,103.95999908447266,0.7502874049307051,-3.0877251950188755,-6.925737794968456,10.43670504970371
2025-03-19,AMD,semiconductors,NEUTRAL,19.5,69.5,59.5,90.0,103.51000213623047,2.6277665583692267,10.916814983243128,-0.7052490985101412,-7.941262729262344
2025-04-09,AMD,semiconductors,STRONG_DOWNTREND,10.0,38.5,35.5,30.0,78.20999908447266,23.82048008119291,21.838642157004774,15.573456652288753,28.32118883156518
2025-05-01,AMD,semiconductors,REVERSAL,29.0,76.5,80.0,85.0,97.3499984741211,-0.7190518327827911,3.0919385551203993,20.924502378905597,16.1068315880293
2025-05-22,AMD,semiconductors,REVERSAL,68.0,74.5,83.0,85.0,112.05999755859375,-1.2047104261404318,0.865608818343877,3.23934049785648,14.438700952237781
2025-06-13,AMD,semiconductors,REVERSAL_CONFIRMED,67.0,77.0,82.0,100.0,118.5,-1.9746804539161444,8.219413918281916,21.358647728771096,23.409287336003427
2025-07-08,AMD,semiconductors,UPTREND,74.0,69.0,68.5,100.0,134.8000030517578,2.2403592018476193,8.486648503274697,16.468840093214453,31.142429359901747
2025-07-29,AMD,semiconductors,STRONG_UPTREND,98.0,62.5,80.5,65.0,173.66000366210938,2.176666301730368,1.796611223882083,-0.794659019757693,-5.931131426093106
2025-08-19,AMD,semiconductors,UPTREND,84.0,53.5,68.5,100.0,176.13999938964844,-5.444530697809357,-7.255591474725498,-7.846027088292285,-8.902005637626198
2025-09-10,AMD,semiconductors,NEUTRAL,50.5,41.5,48.0,65.0,155.82000732421875,2.3873609209719815,2.977794359869246,3.260163222618484,35.739946454206994
2025-10-01,AMD,semiconductors,UPTREND,72.0,65.5,72.5,100.0,161.7899932861328,1.372149893582697,30.731196788401547,34.798198521578996,59.472167916666386
2025-10-22,AMD,semiconductors,UPTREND,83.0,55.5,68.5,40.0,238.02999877929688,-3.276899168911074,8.393904587149837,5.049785461540068,-3.251693287761037
2025-11-12,AMD,semiconductors,REVERSAL,82.0,54.5,65.5,60.0,237.52000427246094,8.997141289818632,-3.0439587640098464,-13.215728707061125,-6.778379005520385
2025-12-04,AMD,semiconductors,NEUTRAL,47.5,31.5,40.5,40.0,217.60000610351562,-0.744490041606849,1.7555110102398075,-8.956803743788665,2.6976079745122172
