date,symbol,state,trend_score,fwd_5d,fwd_10d,fwd_20d
2025-04-09,SQQQ,UPTREND,84.0,-33.28299077384818,-32.49009391015383,-44.11931825940834
2026-03-25,SQQQ,UPTREND,76.0,2.532415494979845,-11.849384511418537,-30.282030308571738
2025-03-19,MU,NEUTRAL,49.0,-7.412494417973559,-12.676453587544213,-30.070285157505573
2026-04-16,SQQQ,BOTTOM_FORMING,24.0,-7.92395254793391,-10.699861900247376,-29.357327567657798
2025-02-04,TSLA,NEUTRAL,61.5,-8.587881129704,-7.706945342132054,-29.097160722998094
2026-06-22,INTC,UPTREND,89.0,-4.231657538990541,-8.799170133270406,-27.561763131993022
2025-03-19,TNA,DOWNTREND,16.0,6.204027125737843,-6.2660498841066055,-27.35939925365495
2025-05-01,SQQQ,NEUTRAL,30.5,-4.700587069233264,-23.567291929592336,-24.08242512162595
2026-06-22,MU,STRONG_UPTREND,98.0,-0.14637900901754985,-13.147248820737067,-23.668358523492728
2025-03-19,INTC,REVERSAL_CONFIRMED,62.0,-6.635799800508401,-14.930558749391531,-23.418208630237437
