state,signals,avg_1d,avg_5d,avg_10d,avg_20d,median_20d,win_rate_20d
STRONG_UPTREND,139,-0.2758101613833001,1.2887205836370499,1.4372488843971478,3.2960195056731503,1.5155705797174734,58.27338129496403
UPTREND,208,-0.829532695579559,0.2696015827528585,0.876020916300559,2.9098363821936717,3.056996038168369,60.09615384615385
EARLY_UPTREND,25,-0.656229132420796,1.402088533959583,1.9326218725531112,8.09384557091603,5.347823224130388,80.0
BOTTOM_FORMING,30,1.2293808953679923,1.2918105027820164,-0.009038154905895752,2.036053944243188,2.546053411044491,53.333333333333336
BOTTOM_BREAKOUT,0,0.0,0.0,0.0,0.0,0.0,0.0
REVERSAL,104,0.1600754312816766,0.9547518351036224,1.518355409938112,4.810915181171148,2.9419802595801126,67.3076923076923
REVERSAL_CONFIRMED,38,-0.13391045593714995,-0.2772425162356051,0.006844800181199057,2.1879901177935737,0.9475349187871629,60.526315789473685
DOWNTREND,84,3.024521744927096,3.2008456699902093,3.3152590014921324,3.0370646053615964,1.099718240796843,54.761904761904766
STRONG_DOWNTREND,42,2.8462765854851546,2.6048310707089235,2.6844835466947807,2.97610515032094,3.283264455081414,57.14285714285714
NEUTRAL,193,0.2515604793784513,-0.04814831320278104,1.111239812359457,2.6094463523475913,2.291421955686146,60.10362694300518
